Tape#,Date,Location,Ftg.,Description,Comments,
,,,,"Various shots of NY, subway, Grand Central, Empire",,
,,,,"State big, Chrysler, meeting Carlos",,
,8-Jun,"New York, NY",0:00 - 3:24,,,
,,,,"Hertz counter, carpulling out, shots of car on Long",,
,,,,"Island, driving up West Side Hwy, Crossing GW",,
,,,3:24 - 8:27,"Bridge,",,
,,,,Rockefeller Lookout sign and shot of GW Bridge,,
,,NJ,8:27 - 9:12,,,
,,,,packing up the car,,
,,,9:12 - 9:50,,,
,,,,"Boardwalk, Neptune theater, mini golf, beach, Craig",,
,,,,"enters, Various shots of boardwalk",,
,9-Jun,"Asbury Park, NJ",9:50 - 15:06,,,
,,,,Craig's interview begins more formally here.,,
,,,15:06- 28:29,,,
,,,,"Various shots of boardwalk, casino andgirl artist",,
,,,,drawing on wall.,,
,,,28:29 - 30:55,,,
,,,,Looking for and finding the Blue hole of New Jersey,,
,,"Winslow, NJ",30:55 - 40:41,,,
,"at the Cape Mayferry terminal, Carlos gives plan forday40-Jun","Cape May, NJ",40:41 42:06 - 46:18 46:18 - 55:17 - 42:06,"Shots of Big Bill, a discussion about Lucyon the ferry various shots",,
Tape#,Date,Location,Ftg.,Description,Comments,
,,,,"While driving through Del. A discussion of process,",,
,,Driving through,,"what story is out there, is there anotherstory,",,
1,10-Jun,Delaware,55:17 - 1:33:33,,,
,,,,various shots of us driving,,
,,Driving through,,,,
,,Maryland,1:33:33 - 1:41:55,,,
,,,,driving into Snow Hill,,
,,"Snow Hill, MD",1:41:55 - 1:42:00,,,
,,,,Julia A Purnell Museum.Claire gives intro,,
,,,1:42:00 - 1:46:25,,,
,,,,,,
,,,,"Shots of Museum, back to Claire",,
,,,1:46:25 - 1:50:06,,,
,,,,,,
,,,,more shots of museum,,
,,,4:51:06 - 1:52:16,,,
,,,,,,
,,,,Mary takes us behind the scenes,,
,,,1:52:16 - 2:10:17,,,
,,,,"shots out car, bridge-tunnel-bridge-tunnel,",,
,,Driving through,,,,
,,VA,2:10:17 - 2:17:01,,,
,,,,"Great Dismal Swamp, Scott reads about Glencoe.",,
,,Great Dismal,,,,
,,"Swamp, VA",,,,
,11-Jun,"Outer Banks, NC Outer Banks, NC Roanoke, NC",2:17:01 2:19:55 2:23:39 - 2:31:112:31:11 - 2:19:- 2:23:39- 2:48:29 55,"Roanoke Museum intro film and Scott go writing.Sunset at beach, Scott and Carlos tell a tale oftumblingMorning at Oregon Campsite, shots of beach, Carlos SUCKS",,
Tape#,Date,Location Ftg.,Description,,,Comments
,,,"Roanoke Museum shots, Scott talks of lost colony",,,
,,,"and Carlos gives theory of, shots of fort.",,,
1,41-Jun,"|Roanoke, NC 2:48:29 - 2:54:31",,,,
,,,Shots of Belhaven,,,
